permid,ticker,cik,filing_date,n_words,ai_hits,ai_per_10k,ai_per_10k_risk,ai_per_10k_nonrisk
4295903170,SR,1126956,2022-11-16,77696.0,0.0,0.0,0.0,0.0
4295903171,EL,1001250,2022-08-24,83734.0,0.0,0.0,0.0,0.0
4295903176,MU,723125,2022-10-07,50099.0,12.0,2.395,0.0,2.395
4295903177,IP,51434,2022-02-18,66847,0,0.0,0.0,0.0
4295903178,CW,26324,2022-02-24,45491,0,0.0,0.0,0.0
4295903182,KR,56873,2022-03-29,61342,0,0.0,0.0,0.0
4295903187,MLSS,855683,2022-03-31,44188,0,0.0,0.0,0.0
4295903191,NPKI,71829,2022-02-25,45003,0,0.0,0.0,0.0
4295903197,ES,72741,2022-02-17,137648,0,0.0,0.0,0.0
4295903206,PH,76334,2022-08-24,42899,0,0.0,0.0,0.0
4295903207,MO,764180,2022-02-25,83443,0,0.0,0.0,0.0
4295903216,EXC,1109357,2022-02-25,193857,0,0.0,0.0,0.0
4295903221,RL,1037038,2022-05-24,85472,0,0.0,0.0,0.0
4295903228,NX,1423221,2021-12-17,44669,0,0.0,0.0,0.0
4295903229,NC,789933,2022-03-02,66573,0,0.0,0.0,0.0
4295903239,SO,92122,2022-02-17,210123,0,0.0,0.0,0.0
4295903242,TG,850429,2022-03-11,45455,0,0.0,0.0,0.0
4295903247,PG,80424,2022-08-05,50834,0,0.0,0.0,0.0
4295903250,SF,720672,2022-02-18,85230,0,0.0,0.0,0.0
4295903254,AAL,6201,2022-02-22,152073,0,0.0,0.0,0.0
4295903255,WY,106535,2022-02-18,62923,1,0.159,0.0,0.159
4295903257,TR,98677,2022-03-01,32197,0,0.0,0.0,0.0
4295903261,AFL,4977,2022-02-23,108660,0,0.0,0.0,0.0
4295903263,PLD,1045609,2022-02-09,72562,0,0.0,0.0,0.0
4295903265,ABT,1800,2022-02-18,56056,0,0.0,0.0,0.0
4295903272,ACU,2098,2022-03-30,26713,2,0.749,0.0,0.749
4295903280,AKR,899629,2022-03-01,101823,0,0.0,0.0,0.0
4295903281,AIR,1750,2022-07-21,46981,0,0.0,0.0,0.0
4295903283,NSP,1000753,2022-02-11,46792,0,0.0,0.0,0.0
4295903289,AES,874761,2022-02-28,137264,0,0.0,0.0,0.0
4295903294,APD,2969,2022-11-22,67752,0,0.0,0.0,0.0
4295903295,ANF,1018840,2022-03-28,56900,2,0.351,0.0,0.352
4295903296,ADC,917251,2022-02-22,121077,0,0.0,,0.0
4295903297,AMD,2488,2022-02-03,55584,17,3.058,0.0,3.058
4295903299,AMG,1004434,2022-02-18,51349,0,0.0,0.0,0.0
4295903307,THG,944695,2022-02-25,88816,1,0.113,,0.113
4295903309,ALB,915913,2022-02-22,88666,0,0.0,0.0,0.0
4295903310,ALX,3499,2022-02-14,32903,0,0.0,0.0,0.0
4295903311,ALK,766421,2022-02-11,49713,3,0.603,0.0,0.603
4295903312,OSG,874501,2022-02-24,126804,0,0.0,0.0,0.0
4295903316,ALL,899051,2022-02-18,120481,0,0.0,0.0,0.0
4295903323,AIN,819793,2022-02-25,54966,0,0.0,0.0,0.0
4295903329,AXP,4962,2022-02-11,91211,10,1.096,3.576,0.647
4295903330,ALG,897077,2022-02-24,42806,1,0.234,0.0,0.234
4295903332,AEE,1002910,2022-02-23,121257,0,0.0,0.0,0.0
4295903333,AEP,4904,2022-02-24,211235,0,0.0,0.0,0.0
4295903336,AFG,1042046,2022-02-25,79786,6,0.752,0.0,0.819
4295903337,ARE,1035443,2022-01-31,122584,0,0.0,0.0,0.0
4295903341,AIG,5272,2022-02-17,218655,6,0.274,0.0,0.274
4295903343,IEP,813762,2022-02-25,87178,0,0.0,0.0,0.0
4295903344,AWR,1056903,2022-02-22,71281,0,0.0,0.0,0.0
4295903347,AWK,1410636,2022-02-16,95781,1,0.104,0.0,0.104
4295903359,APH,820313,2022-02-09,77564,0,0.0,0.0,0.0
4295903367,ARL,1102238,2022-03-29,36136,0,0.0,0.0,0.0
4295903369,CNS,1284812,2022-02-25,39280,0,0.0,0.0,0.0
4295903372,AVD,5981,2022-03-14,42028,0,0.0,0.0,0.0
4295903374,COR,1140859,2022-11-22,63735,0,0.0,0.0,0.0
4295903375,TFSL,1381668,2022-11-22,78291,0,0.0,0.0,0.0
4295903382,AME,1037868,2022-02-22,42675,0,0.0,0.0,0.0
4295903388,AMT,1053507,2022-02-25,90004,0,0.0,0.0,0.0
4295903393,ADI,6281,2022-11-22,60867,1,0.164,0.0,0.164
4295903398,ACAD,1070494,2022-03-01,71815,0,0.0,0.0,0.0
4295903417,ACM,868857,2022-11-17,64753,1,0.154,0.0,0.154
4295903430,CZWI,1367859,2022-03-02,60524,0,0.0,0.0,0.0
4295903432,MNKD,899460,2022-02-24,76019,0,0.0,0.0,0.0
4295903437,ACIC,1401521,2022-03-15,65583,0,0.0,0.0,0.0
4295903438,NLY,1043219,2022-02-18,97432,0,0.0,0.0,0.0
4295903448,EIG,1379041,2022-02-24,63432,0,0.0,0.0,0.0
